y,z
274,2.9870002269744873
275,3.0027501583099365
276,3.0027501583099365
277,2.9885001182556152
278,2.955000162124634
292,2.919750213623047
296,2.9035000801086426
310,2.815500020980835
311,2.815500020980835
312,2.842750072479248
313,2.842750072479248
321,2.835750102996826
322,2.8342502117156982
323,2.8227500915527344
334,0.7287500500679016
335,0.7262500524520874
336,0.7252500057220459
337,0.7245000600814819
338,0.7235000133514404
339,0.7207500338554382
340,0.7097500562667847
341,0.7085000276565552
342,0.6990000605583191
343,0.6982500553131104
344,0.6975000500679016
345,0.6960000395774841
346,0.6942500472068787
347,0.6920000314712524
348,0.6897500157356262
349,0.6877500414848328
350,0.6862500309944153
351,0.6847500205039978
352,0.6835000514984131
353,0.6822500228881836
354,0.6812500357627869
355,0.6800000071525574
356,0.6790000200271606
357,0.6782500147819519
358,0.6772500276565552
359,0.6765000224113464
360,0.6757500171661377
361,0.674750030040741
362,0.6740000247955322
363,0.6730000376701355
364,0.6720000505447388
365,0.6710000038146973
366,0.6697500348091125
367,0.6687500476837158
368,0.6680000424385071
369,0.6672500371932983
370,0.6665000319480896
371,0.6657500267028809
372,0.6650000214576721
373,0.6640000343322754
374,0.6632500290870667
375,0.6622500419616699
376,0.6615000367164612
377,0.6607500314712524
378,0.6600000262260437
379,0.6597500443458557
380,0.659250020980835
381,0.658750057220459
382,0.6582500338554382
383,0.6577500104904175
384,0.6570000052452087
385,0.6562500596046448
386,0.655500054359436
387,0.6550000309944153
388,0.6542500257492065
389,0.6537500023841858
390,0.6532500386238098
391,0.6530000567436218
392,0.6525000333786011
393,0.6520000100135803
394,0.6517500281333923
395,0.6515000462532043
396,0.6512500047683716
397,0.6512500047683716
398,0.6502500176429749
399,0.6455000042915344
400,0.6417500376701355
401,0.640500009059906
402,0.640250027179718
403,0.640250027179718
404,0.640500009059906
405,0.640500009059906
406,0.640500009059906
407,0.640500009059906
408,0.6450000405311584
409,0.6480000019073486
410,0.6492500305175781
411,0.6500000357627869
412,0.6505000591278076
413,0.6500000357627869
414,0.6482500433921814
415,0.6542500257492065
416,0.6552500128746033
417,0.6552500128746033
418,0.6670000553131104
419,0.675000011920929
420,0.6875000596046448
421,0.6885000467300415
422,0.6890000104904175
423,0.6897500157356262
424,0.690500020980835
425,0.6912500262260437
426,0.6920000314712524
427,0.6927500367164612
428,0.6937500238418579
429,0.6967500448226929
430,0.7007500529289246
431,0.702750027179718
432,0.7045000195503235
433,0.706250011920929
434,0.7072500586509705
435,0.7080000042915344
436,0.7100000381469727
